,date,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,ClosingStockPrice
0,2022-12-30,SU,1980000000.0,0.0,1980000000.0,6312000000.0,5058000000.0,1186000000.0,14536000000.0,64649000000.0,2892000000.0,694000000.0,3586000000.0,758000000.0,81000000.0,1008000000.0,70082000000.0,0.0,84618000000.0,8167000000.0,3124000000.0,484000000.0,0.0,1578000000.0,12869000000.0,12495000000.0,22000000.0,8445000000.0,11420000000.0,32382000000.0,0.0,3012000000.0,45251000000.0,0.0,22257000000.0,15565000000.0,974000000.0,571000000.0,39367000000.0,39367000000.0,84618000000.0,0.0,84618000000.0,758000000.0,15619000000.0,13639000000.0,30.23411750793457
1,2021-12-31,SU,2205000000.0,0.0,2205000000.0,4662000000.0,4110000000.0,0.0,10977000000.0,67772000000.0,2892000000.0,631000000.0,3523000000.0,391000000.0,160000000.0,916000000.0,72762000000.0,0.0,83739000000.0,6503000000.0,1825000000.0,1292000000.0,0.0,2071000000.0,10399000000.0,16529000000.0,29000000.0,9241000000.0,10927000000.0,36726000000.0,0.0,2850000000.0,47125000000.0,0.0,23650000000.0,11538000000.0,814000000.0,612000000.0,36614000000.0,36614000000.0,83739000000.0,0.0,83739000000.0,391000000.0,18354000000.0,16149000000.0,22.851823806762695
2,2020-12-31,SU,1885000000.0,0.0,1885000000.0,3884000000.0,3617000000.0,0.0,9386000000.0,70416000000.0,2892000000.0,436000000.0,3328000000.0,323000000.0,209000000.0,954000000.0,75230000000.0,0.0,84616000000.0,4684000000.0,5251000000.0,87000000.0,0.0,614000000.0,10549000000.0,16448000000.0,35000000.0,8967000000.0,12860000000.0,38310000000.0,0.0,2908000000.0,48859000000.0,0.0,25144000000.0,9145000000.0,877000000.0,591000000.0,35757000000.0,35757000000.0,84616000000.0,0.0,84616000000.0,323000000.0,21699000000.0,19814000000.0,14.749186515808105
3,2019-12-31,SU,1960000000.0,0.0,1960000000.0,4185000000.0,3761000000.0,0.0,9906000000.0,75068000000.0,2892000000.0,166000000.0,3058000000.0,289000000.0,209000000.0,905000000.0,79529000000.0,0.0,89435000000.0,6555000000.0,2465000000.0,886000000.0,1207000000.0,310000000.0,10537000000.0,15505000000.0,40000000.0,10176000000.0,11135000000.0,36856000000.0,0.0,2931000000.0,47393000000.0,0.0,25167000000.0,15410000000.0,899000000.0,566000000.0,42042000000.0,42042000000.0,89435000000.0,0.0,89435000000.0,289000000.0,17970000000.0,16010000000.0,27.656496047973633
4,2018-12-31,SU,2221000000.0,0.0,2221000000.0,3320000000.0,3159000000.0,0.0,8700000000.0,76564000000.0,2892000000.0,169000000.0,3061000000.0,237000000.0,128000000.0,889000000.0,80879000000.0,0.0,89579000000.0,5647000000.0,3460000000.0,535000000.0,535000000.0,667000000.0,10309000000.0,13890000000.0,46000000.0,12045000000.0,9284000000.0,35265000000.0,0.0,1222000000.0,45574000000.0,0.0,25910000000.0,16479000000.0,1076000000.0,540000000.0,44005000000.0,44005000000.0,89579000000.0,0.0,89579000000.0,237000000.0,17350000000.0,15129000000.0,22.650136947631836
5,2022-12-30,CVE,4524000000.0,0.0,4524000000.0,3594000000.0,4312000000.0,402000000.0,12430000000.0,39029000000.0,2923000000.0,19000000.0,2942000000.0,420000000.0,546000000.0,502000000.0,43439000000.0,0.0,55869000000.0,6124000000.0,423000000.0,1211000000.0,0.0,1474000000.0,8021000000.0,11219000000.0,45000000.0,4283000000.0,4712000000.0,20259000000.0,0.0,2836000000.0,28280000000.0,519000000.0,16320000000.0,6392000000.0,1470000000.0,2875000000.0,27576000000.0,27589000000.0,55869000000.0,13000000.0,55869000000.0,420000000.0,11642000000.0,7118000000.0,18.985759735107422
6,2021-12-31,CVE,2873000000.0,0.0,2873000000.0,3892000000.0,3919000000.0,1304000000.0,11988000000.0,36955000000.0,3473000000.0,78000000.0,3551000000.0,441000000.0,694000000.0,475000000.0,42116000000.0,0.0,54104000000.0,6353000000.0,351000000.0,179000000.0,179000000.0,422000000.0,7305000000.0,15070000000.0,41000000.0,3286000000.0,4794000000.0,23191000000.0,0.0,2957000000.0,30496000000.0,519000000.0,17016000000.0,878000000.0,684000000.0,4499000000.0,23596000000.0,23608000000.0,54104000000.0,12000000.0,54104000000.0,441000000.0,15421000000.0,12548000000.0,11.817562103271484
7,2020-12-31,CVE,378000000.0,0.0,378000000.0,1388000000.0,1089000000.0,121000000.0,2976000000.0,27173000000.0,2272000000.0,89000000.0,2361000000.0,149000000.0,36000000.0,75000000.0,29794000000.0,0.0,32770000000.0,608000000.0,305000000.0,0.0,1410000000.0,36000000.0,2359000000.0,9014000000.0,1411000000.0,3234000000.0,45000000.0,13704000000.0,0.0,1757000000.0,16063000000.0,0.0,11040000000.0,501000000.0,775000000.0,4391000000.0,16707000000.0,16707000000.0,32770000000.0,0.0,32770000000.0,149000000.0,9319000000.0,8941000000.0,5.772466659545898
8,2019-12-31,CVE,186000000.0,0.0,186000000.0,1561000000.0,1532000000.0,5000000.0,3284000000.0,29946000000.0,2272000000.0,101000000.0,2272000000.0,52000000.0,-52000000.0,211000000.0,32429000000.0,0.0,35713000000.0,2210000000.0,196000000.0,17000000.0,34000000.0,81000000.0,2521000000.0,8419000000.0,1457000000.0,4032000000.0,83000000.0,13991000000.0,0.0,1916000000.0,16512000000.0,0.0,11040000000.0,2957000000.0,827000000.0,4377000000.0,19201000000.0,19201000000.0,35713000000.0,0.0,35713000000.0,52000000.0,8615000000.0,8429000000.0,9.555397033691406
9,2018-12-31,CVE,781000000.0,0.0,781000000.0,1238000000.0,1013000000.0,208000000.0,3195000000.0,29483000000.0,2272000000.0,0.0,2272000000.0,38000000.0,122000000.0,64000000.0,31979000000.0,0.0,35174000000.0,1833000000.0,682000000.0,17000000.0,17000000.0,68000000.0,2600000000.0,8482000000.0,1604000000.0,4861000000.0,159000000.0,15106000000.0,0.0,0.0,17706000000.0,0.0,11040000000.0,1023000000.0,1038000000.0,4367000000.0,17468000000.0,17468000000.0,35174000000.0,0.0,35174000000.0,38000000.0,9164000000.0,8383000000.0,6.529032230377197
